variant,n_assets,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,n_folds,fold_positive,fold_return_std,max_concurrent,avg_exposure,max_share_profit,by_asset,ret_by_asset,share_by_asset
top5_supertrend_parallel,5,155,0.40702735317430205,0.024929868126398712,2.18943839029593,0.25647709528363005,0.5161290322580645,20,12/20,0.027224199177658122,4,0.3570833333333333,0.32635677318030226,BNBUSDT:42; ETHUSDT:30; XRPUSDT:20; BTCUSDT:35; SOLUSDT:28,BNBUSDT:+10.56%; ETHUSDT:+6.78%; XRPUSDT:-1.43%; BTCUSDT:+7.05%; SOLUSDT:+11.81%,BNBUSDT:29.2%; ETHUSDT:18.7%; XRPUSDT:0.0%; BTCUSDT:19.5%; SOLUSDT:32.6%
top5_supertrend_hmm_filter_parallel,5,95,0.2674037100783109,0.01856632543321436,2.487428092572193,0.2883633790058047,0.5157894736842106,20,14/20,0.020483906378036248,4,0.24861111111111112,0.3385913056183886,BNBUSDT:26; ETHUSDT:17; XRPUSDT:11; BTCUSDT:24; SOLUSDT:17,BNBUSDT:+6.26%; ETHUSDT:+5.17%; XRPUSDT:-1.19%; BTCUSDT:+8.56%; SOLUSDT:+5.29%,BNBUSDT:24.8%; ETHUSDT:20.4%; XRPUSDT:0.0%; BTCUSDT:33.9%; SOLUSDT:20.9%
top5_supertrend_hmm_sizing_parallel,5,95,0.2516862794004051,0.01856632543321436,2.4089065841102846,0.28134856531337593,0.5157894736842106,20,14/20,0.020202614832464005,4,0.24861111111111112,0.35652340174784813,BNBUSDT:26; ETHUSDT:17; XRPUSDT:11; BTCUSDT:24; SOLUSDT:17,BNBUSDT:+4.99%; ETHUSDT:+5.17%; XRPUSDT:-1.19%; BTCUSDT:+8.56%; SOLUSDT:+5.29%,BNBUSDT:20.8%; ETHUSDT:21.5%; XRPUSDT:0.0%; BTCUSDT:35.7%; SOLUSDT:22.0%
btc_eth_reference_parallel,2,65,0.3971961807971165,0.055397613371158234,2.4988167127254513,0.29570195061334137,0.5384615384615384,20,11/20,0.03498698136052926,2,0.18138888888888888,0.5097263783324276,ETHUSDT:30; BTCUSDT:35,ETHUSDT:+16.94%; BTCUSDT:+17.61%,ETHUSDT:49.0%; BTCUSDT:51.0%
