variant,trades,n_long,n_short,total_return,max_drawdown,profit_factor,win_rate,mean_overlay_multiplier,return_per_exposure,dd_per_exposure,n_folds,fold_positive,fold_return_std,max_concurrent,trade_count_delta_vs_baseline
baseline_funding_only,123,63,60,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,1.0,1.3971207841215842,0.04638286174964503,20,16/20,0.05470920522235862,2,0.0
hmm_sizing,123,63,60,0.7837674646273378,0.02448063694802042,3.8353788431034306,0.5853658536585366,0.6524390243902439,1.2012884504568542,0.03752172392033036,20,16/20,0.03515340999666957,2,0.0
vol_sizing,123,63,60,0.7270926099455037,0.020994337262136138,4.629063454899905,0.5853658536585366,0.532520325203252,1.3653800156228544,0.039424480660194584,20,16/20,0.029411009053166546,2,0.0
hmm_plus_vol_sizing,123,63,60,0.5969468876831103,0.015742948490822226,4.487491138402173,0.5853658536585366,0.4715447154471545,1.2659390893969409,0.03338590800639886,20,16/20,0.02696106597907673,2,0.0
