variant,trades,n_long,n_short,total_return,long_return_contrib,short_return_contrib,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,n_folds,fold_positive,fold_return_std,max_concurrent,by_reason
btc_supertrend_long_only,35,35,0,0.3866136930575075,0.35228140200943336,0,0.09630570628860868,2.236525296913388,0.26607250187105813,0.45714285714285713,0.03982360233515505,-0.01499453870279197,20,10/20,0.041013561059698896,1,stop:32; end:3
btc_supertrend_long_short,65,35,30,1.0756704094904892,0.35228140200943336,0.41730698073460876,0.09983694237837795,2.8696233888870224,0.3526562517792424,0.5230769230769231,0.03474164331491865,-0.013278306127844905,20,15/20,0.05505590057269559,1,stop:61; end:4
eth_supertrend_long_only,30,30,0,0.37864311221430236,0.33883723925438297,0,0.05301529735721144,2.922881453126379,0.3358464465915077,0.6333333333333333,0.02710792182919951,-0.01601938868185525,20,10/20,0.03979421428767538,1,stop:27; end:3
eth_supertrend_long_short,64,30,34,1.63936753183823,0.33883723925438297,0.686291518750545,0.053015297357211534,3.6698997763474877,0.4061072540400767,0.625,0.035227163141647665,-0.01599824031920745,20,15/20,0.06779637710799692,1,stop:59; end:5
btc_eth_parallel_long_only,65,65,0,0.3971961807971165,0.3455593206319082,0,0.055397613371158234,2.4988167127254513,0.29570195061334137,0.5384615384615384,0.016460402173103877,-0.0076851585142242535,20,11/20,0.03498698136052926,2,stop:59; end:6
btc_eth_parallel_long_short,129,65,64,1.3946868964755006,0.3455593206319082,0.5517992497425769,0.05757723046669687,3.255845144879221,0.37947919681636244,0.5736434108527132,0.017502043232250953,-0.007232593251128826,20,16/20,0.05534254387268585,2,stop:120; end:9
