variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,n_folds,fold_positive,fold_return_std,by_asset,by_funding_state
eth_supertrend_baseline,30,0.37864311221430236,0.05301529735721144,2.922881453126379,0.3358464465915077,0.6333333333333333,20,10/20,0.03979421428767538,ETH:30,no_filter:30
eth_supertrend_funding_filter,28,0.3846104858451125,0.05301529735721152,3.1727699823475812,0.356635603067926,0.6428571428571429,20,10/20,0.03880425925543586,ETH:28,no_filter:28
btc_eth_parallel_baseline,65,0.3971961807971165,0.055397613371158234,2.4988167127254513,0.29570195061334137,0.5384615384615384,20,11/20,0.03498698136052926,ETHUSDT:30; BTCUSDT:35,no_filter:65
btc_eth_parallel_funding_filter,63,0.4001207913856246,0.04683497806618984,2.5702639902609854,0.30368805481789585,0.5396825396825397,20,11/20,0.034589870150369996,ETHUSDT:28; BTCUSDT:35,funding_normal:62; funding_overheated:1
btc_eth_parallel_funding_sizing,63,0.39276307532027266,0.04683497806618984,2.5462711616755542,0.29923832713278703,0.5396825396825397,20,11/20,0.03460069854233071,ETHUSDT:28; BTCUSDT:35,funding_normal:62; funding_overheated:1
