variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,n_folds,fold_positive,fold_return_std,by_state
supertrend_only_btc,35,0.3866136930575075,0.09630570628860868,2.236525296913388,0.26607250187105813,0.45714285714285713,0.03982360233515505,-0.01499453870279197,1.0,20,10/20,0.041013561059698896,no_hmm:35
supertrend_hmm_filter_btc,24,0.49980471182979813,0.037860594674861435,4.010458080581762,0.4337874472951778,0.5416666666666666,0.043862649658176,-0.012925624910467542,1.0,20,9/20,0.041820736227761085,no_hmm:24
supertrend_hmm_sizing_btc,24,0.49980471182979813,0.037860594674861435,4.010458080581762,0.4337874472951778,0.5416666666666666,0.043862649658176,-0.012925624910467542,1.0,20,9/20,0.041820736227761085,no_hmm:24
supertrend_only_eth,30,0.37864311221430236,0.05301529735721144,2.922881453126379,0.3358464465915077,0.6333333333333333,0.02710792182919951,-0.01601938868185525,1.0,20,10/20,0.03979421428767538,no_hmm:30
supertrend_hmm_filter_eth,17,0.27799693336631126,0.041272525387856744,4.272768763186388,0.4023546194014961,0.7058823529411765,0.028109418760335025,-0.01578896700566924,1.0,20,8/20,0.036444859463321586,no_hmm:17
supertrend_hmm_sizing_eth,17,0.27799693336631126,0.041272525387856744,4.272768763186388,0.4023546194014961,0.7058823529411765,0.028109418760335025,-0.01578896700566924,1.0,20,8/20,0.036444859463321586,no_hmm:17
