variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,n_folds,fold_positive,by_setup,by_reason
baseline,103,0.032812244753225084,0.1273579468245542,1.087450768300438,0.026796956565028826,0.2524271844660194,0.022199426563977477,-0.0068931031057813215,1.0,20,8/20,pullback_short:12; pullback:20; breakout:42; breakout_short:29,stop:68; end:4; trail_exit:20; target_rsi:11
supertrend_only,35,0.3866136930575075,0.09630570628860868,2.236525296913388,0.26607250187105813,0.45714285714285713,0.03982360233515505,-0.01499453870279197,1.0,20,10/20,supertrend:35,stop:32; end:3
supertrend_plus_routing,20,0.29564304852738643,0.05951393324934718,3.1632881233023955,0.3366535395754197,0.5,0.040450526958330076,-0.012787493703261122,0.8875,20,8/20,supertrend:20,stop:19; end:1
