variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,n_folds,fold_positive,fold_return_std,max_concurrent,by_asset,ret_by_asset,by_state,by_reason
btc_supertrend_only,35,0.3866136930575075,0.09630570628860868,2.236525296913388,0.26607250187105813,0.45714285714285713,0.03982360233515505,-0.01499453870279197,1.0,20,10/20,0.041013561059698896,1,BTC:35,BTC:+0.3523,unknown:35,stop:32; end:3
btc_supertrend_rs_sizing,27,0.38026565962638803,0.0629276949018246,3.0077063905146884,0.3381631331302198,0.48148148148148145,0.03943189426263348,-0.012173838012315207,0.8703703703703703,20,10/20,0.03846961605632081,1,BTC:27,BTC:+0.3422,rs_partial:7; rs_strong:20,stop:24; end:3
eth_supertrend_only,30,0.37864311221430236,0.05301529735721144,2.922881453126379,0.3358464465915077,0.6333333333333333,0.02710792182919951,-0.01601938868185525,1.0,20,10/20,0.03979421428767538,1,ETH:30,ETH:+0.3388,unknown:30,stop:27; end:3
eth_supertrend_rs_sizing,21,0.1733134913643799,0.038634141528394936,3.0462969102527935,0.3796589954885677,0.6666666666666666,0.01752498073661209,-0.011505760110007007,0.7380952380952381,20,8/20,0.020406208562793487,1,ETH:21,ETH:+0.1648,rs_strong:10; rs_partial:11,stop:19; end:2
multiasset_supertrend_rs_one_position,39,0.40987924595203484,0.09607138505579833,2.4799124987925425,0.27643240381226636,0.48717948717948717,0.03231581952253491,-0.012379480550767761,0.8589743589743589,20,12/20,0.04157009500650328,1,BTC:26; ETH:13,BTC:+0.3064; ETH:+0.0600,rs_partial:11; rs_strong:28,stop:35; end:4
