variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,fold_positive,by_setup,by_reason
baseline,33,0.08971164811690446,0.04430580608428936,1.690619924242409,0.1374540810963428,0.30303030303030304,0.0226709599039421,-0.005830369645671552,1.0,3/8,breakout:14; pullback_short:4; breakout_short:12; pullback:3,stop:21; trail_exit:7; target_rsi:4; end:1
supertrend_only,9,0.13000594674116317,0.014855082443603488,9.016013190378962,0.6659022585090413,0.7777777777777778,0.02007769693189171,-0.007794125604941279,1.0,4/8,supertrend:9,stop:9
supertrend_plus_routing,4,0.02473731156057979,0.000733168766279232,34.53857451276791,0.9780507461549399,0.75,0.008440868021522009,-0.0007331687662791352,0.9375,3/8,supertrend:4,stop:4
