variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,fold_positive,by_setup_count,by_state
baseline,33,0.08971164811690446,0.04430580608428936,1.690619924242409,0.1374540810963428,0.30303030303030304,0.0226709599039421,-0.005830369645671552,1.0,3/8,breakout:14;pullback_short:4;breakout_short:12;pullback:3,unknown:n33@PF1.69
strategy_routing,19,0.039379016476644546,0.03443851042593171,1.5432186987940326,0.09884419849464657,0.21052631578947367,0.030887896239419635,-0.005337397957236153,0.8947368421052632,2/8,breakout:8;breakout_short:9;pullback_short:2,"up_low_vol:n10@PF2.14, up_high_vol:n8@PF0.88, nan:n1@PF0.00"
donchian_only,33,-0.02163996950278202,0.0678960164734201,0.8972620026612845,-0.03843389856064552,0.3333333333333333,0.014630134985121994,-0.008152654933413498,1.0,3/8,donchian_breakout:24;breakout:9,unknown:n33@PF0.90
donchian_plus_routing,25,-0.029730817981270863,0.06539897424139769,0.8359780627092446,-0.07081051047280364,0.32,0.017353936908927343,-0.009768867042887854,0.96,3/8,donchian_breakout:22;breakout:3,"up_low_vol:n21@PF1.05, up_high_vol:n4@PF0.02"
