variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,n_folds,fold_positive,by_state,by_reason
baseline_v2,103,0.032812244753225084,0.1273579468245542,1.087450768300438,0.026796956565028826,0.2524271844660194,0.022199426563977477,-0.0068931031057813215,1.0,20,8/20,unknown:103,stop:68; end:4; trail_exit:20; target_rsi:11
supertrend_only,35,0.3866136930575075,0.09630570628860868,2.236525296913388,0.26607250187105813,0.45714285714285713,0.03982360233515505,-0.01499453870279197,1.0,20,10/20,unknown:35,stop:32; end:3
supertrend_with_btc_eth_rs_filter,20,0.354327925851057,0.07072887013471024,3.333043965253763,0.3842420703202098,0.55,0.04185603643549408,-0.015348545773445557,1.0,20,8/20,rs_strong:20,stop:18; end:2
supertrend_with_btc_eth_rs_sizing,27,0.38026565962638803,0.0629276949018246,3.0077063905146884,0.3381631331302198,0.48148148148148145,0.03943189426263348,-0.012173838012315207,0.8703703703703703,20,10/20,rs_partial:7; rs_strong:20,stop:24; end:3
