asset,direction,entry_time,exit_time,entry_price,exit_price,gross_return_pct,net_return_pct,base_size,adaptive_multiplier,final_size,exit_reason
BTC/USDT,short,2025-03-09T16:00:00+00:00,2025-03-14T12:00:00+00:00,82599.53957000001,85172.59361983597,-0.031150949063770455,-0.004143868632971307,0.5,0.25,0.125,stop
ETH/USDT,short,2025-03-03T20:00:00+00:00,2025-03-19T08:00:00+00:00,2147.935495,1986.5781934524553,0.07512204250227957,0.01828051062556989,0.5,0.5,0.25,stop
BTC/USDT,short,2025-03-28T08:00:00+00:00,2025-04-01T12:00:00+00:00,85212.63237,84619.30491996116,0.006962904836252163,0.0006203631045315203,0.5,0.25,0.125,stop
ETH/USDT,short,2025-03-28T08:00:00+00:00,2025-04-01T12:00:00+00:00,1899.5297600000001,1907.1955177403393,-0.0040356081287924285,-0.0030178040643962143,0.5,1.0,0.5,stop
BTC/USDT,short,2025-04-03T00:00:00+00:00,2025-04-09T16:00:00+00:00,83442.228015,81342.59465644942,0.025162719266953626,0.011581359633476812,0.5,1.0,0.5,stop
ETH/USDT,short,2025-04-03T00:00:00+00:00,2025-04-09T16:00:00+00:00,1823.5477700000001,1635.9876317012106,0.10285452423261142,0.05042726211630571,0.5,1.0,0.5,stop
BTC/USDT,long,2025-05-07T00:00:00+00:00,2025-05-12T16:00:00+00:00,96555.15344999998,100935.90154056996,0.0453704223341999,0.021685211167099948,0.5,1.0,0.5,stop
ETH/USDT,long,2025-05-22T04:00:00+00:00,2025-05-25T00:00:00+00:00,2636.507595,2476.9867218336917,-0.06050461355348696,-0.03125230677674348,0.5,1.0,0.5,stop
ETH/USDT,long,2025-06-03T16:00:00+00:00,2025-06-05T16:00:00+00:00,2626.4725799999997,2506.579584807127,-0.0456479142808613,-0.02382395714043065,0.5,1.0,0.5,stop
BTC/USDT,long,2025-06-06T16:00:00+00:00,2025-06-12T12:00:00+00:00,104271.9099,106695.6446070586,0.023244368587695702,0.010622184293847852,0.5,1.0,0.5,stop
ETH/USDT,long,2025-06-10T00:00:00+00:00,2025-06-12T20:00:00+00:00,2690.22444,2644.942211260351,-0.016832137893910765,-0.009416068946955382,0.5,1.0,0.5,stop
BTC/USDT,long,2025-06-16T20:00:00+00:00,2025-06-17T12:00:00+00:00,106847.92726499999,104923.68752915414,-0.018009144258581935,-0.010004572129290967,0.5,1.0,0.5,stop
ETH/USDT,long,2025-06-16T20:00:00+00:00,2025-06-17T12:00:00+00:00,2545.442085,2503.103946405726,-0.016632921583157493,-0.004658230395789373,0.5,0.5,0.25,stop
BTC/USDT,long,2025-07-02T16:00:00+00:00,2025-07-15T00:00:00+00:00,109730.97807,118116.73696731558,0.07642107128550431,0.03721053564275215,0.5,1.0,0.5,stop
BTC/USDT,long,2025-08-07T12:00:00+00:00,2025-08-11T20:00:00+00:00,116748.15490499999,118429.29538852625,0.014399717793349616,0.006199858896674808,0.5,1.0,0.5,stop
ETH/USDT,long,2025-08-04T16:00:00+00:00,2025-08-14T12:00:00+00:00,3671.564865,4469.282665684812,0.2172691563450867,0.026908644543135837,0.5,0.25,0.125,stop
ETH/USDT,long,2025-08-22T16:00:00+00:00,2025-08-25T08:00:00+00:00,4835.416499999999,4538.757210198261,-0.061351341668652117,-0.031675670834326056,0.5,1.0,0.5,stop
BTC/USDT,short,2025-08-24T20:00:00+00:00,2025-09-02T08:00:00+00:00,113436.843205,110734.50414823742,0.023822410606746006,0.010911205303373004,0.5,1.0,0.5,stop
ETH/USDT,long,2025-09-11T08:00:00+00:00,2025-09-15T08:00:00+00:00,4432.0149,4521.348209476631,0.02015636487969191,0.009078182439845955,0.5,1.0,0.5,stop
ETH/USDT,short,2025-10-16T20:00:00+00:00,2025-10-21T12:00:00+00:00,3892.5627450000006,4086.84421859511,-0.04991094205087995,-0.025955471025439977,0.5,1.0,0.5,stop
ETH/USDT,short,2025-10-29T00:00:00+00:00,2025-11-09T12:00:00+00:00,3995.66117,3554.3462590688537,0.11044853208390194,0.05422426604195097,0.5,1.0,0.5,stop
BTC/USDT,short,2025-10-29T16:00:00+00:00,2025-11-09T20:00:00+00:00,110584.68000000001,105283.93347195782,0.04793382345585472,0.02296691172792736,0.5,1.0,0.5,stop
ETH/USDT,short,2025-11-13T16:00:00+00:00,2025-11-24T20:00:00+00:00,3196.091155,2985.119453564615,0.06600928797207133,0.03200464398603566,0.5,1.0,0.5,stop
BTC/USDT,short,2025-11-12T16:00:00+00:00,2025-11-26T16:00:00+00:00,101246.661345,90123.94892241582,0.10985757233696153,0.05392878616848076,0.5,1.0,0.5,stop
BTC/USDT,short,2025-12-01T04:00:00+00:00,2025-12-02T12:00:00+00:00,86507.02485,88891.80002290504,-0.02756741636925034,-0.014783708184625169,0.5,1.0,0.5,stop
ETH/USDT,short,2025-12-01T04:00:00+00:00,2025-12-02T12:00:00+00:00,2838.7898950000003,2906.877319656339,-0.02398466500682626,-0.01299233250341313,0.5,1.0,0.5,stop
BTC/USDT,short,2025-12-14T16:00:00+00:00,2025-12-17T12:00:00+00:00,88600.55756000002,89641.53366831996,-0.011749092071062818,-0.006874546035531409,0.5,1.0,0.5,stop
ETH/USDT,short,2025-12-12T16:00:00+00:00,2025-12-19T12:00:00+00:00,3072.20313,3014.318281986504,0.01884147810678641,0.008420739053393207,0.5,1.0,0.5,stop
BTC/USDT,short,2025-12-24T08:00:00+00:00,2025-12-29T00:00:00+00:00,87160.33803000001,89358.79290026246,-0.025223110877630506,-0.013611555438815252,0.5,1.0,0.5,stop
ETH/USDT,short,2025-12-26T00:00:00+00:00,2025-12-29T00:00:00+00:00,2963.4375400000004,3019.1502561490515,-0.018800030504118933,-0.010400015252059466,0.5,1.0,0.5,stop
BTC/USDT,short,2025-12-29T12:00:00+00:00,2026-01-02T08:00:00+00:00,87647.77419,89719.18657827777,-0.023633371268361455,-0.006408342817090363,0.5,0.5,0.25,stop
BTC/USDT,long,2026-01-13T16:00:00+00:00,2026-01-18T20:00:00+00:00,94273.95341999999,93685.20624061018,-0.00624506725380325,-0.0010306334067254064,0.5,0.25,0.125,stop
ETH/USDT,long,2026-01-13T20:00:00+00:00,2026-01-19T00:00:00+00:00,3327.48291,3251.2302815438584,-0.02291600904304623,-0.012458004521523115,0.5,1.0,0.5,stop
BTC/USDT,short,2026-01-29T16:00:00+00:00,2026-02-06T16:00:00+00:00,83970.10394500001,71124.09581695114,0.15298311571059786,0.018872889463824732,0.5,0.25,0.125,stop
ETH/USDT,short,2026-01-29T16:00:00+00:00,2026-02-14T08:00:00+00:00,2796.1312350000003,2083.375188770556,0.25490793754873387,0.12645396877436693,0.5,1.0,0.5,stop
ETH/USDT,short,2026-02-15T20:00:00+00:00,2026-02-25T00:00:00+00:00,1965.59671,1935.3570772422634,0.015384454300260133,0.006692227150130067,0.5,1.0,0.5,stop
BTC/USDT,short,2026-02-18T12:00:00+00:00,2026-02-25T12:00:00+00:00,67660.16299499999,66347.50260388655,0.019400786711235803,0.0087003933556179,0.5,1.0,0.5,stop
BTC/USDT,short,2026-02-28T08:00:00+00:00,2026-02-28T20:00:00+00:00,63812.2779,67574.13363230469,-0.058951911075794464,-0.030475955537897233,0.5,1.0,0.5,stop
ETH/USDT,short,2026-02-27T20:00:00+00:00,2026-03-01T00:00:00+00:00,1928.87508,2014.2470812100532,-0.044259994903378196,-0.0231299974516891,0.5,1.0,0.5,stop
ETH/USDT,short,2026-03-07T20:00:00+00:00,2026-03-09T16:00:00+00:00,1968.605205,2050.03179763852,-0.041362581197950186,-0.021681290598975094,0.5,1.0,0.5,stop
BTC/USDT,short,2026-03-07T08:00:00+00:00,2026-03-10T00:00:00+00:00,67976.004995,69773.80823409348,-0.026447615437619795,-0.014223807718809899,0.5,1.0,0.5,stop
ETH/USDT,long,2026-03-24T08:00:00+00:00,2026-03-26T12:00:00+00:00,2166.98295,2055.8114861979484,-0.05130241740113907,-0.026651208700569536,0.5,1.0,0.5,stop
BTC/USDT,short,2026-03-27T12:00:00+00:00,2026-03-31T00:00:00+00:00,66079.76359000002,68434.51622830729,-0.0356350039766731,-0.018817501988336552,0.5,1.0,0.5,stop
BTC/USDT,long,2026-04-13T20:00:00+00:00,2026-04-19T20:00:00+00:00,74455.198995,74185.87406171813,-0.0036172750448219635,-0.0014043187612054909,0.5,0.5,0.25,stop
ETH/USDT,long,2026-04-22T08:00:00+00:00,2026-04-23T16:00:00+00:00,2399.63922,2290.4582016984714,-0.04549893058571056,-0.011874732646427641,0.5,0.5,0.25,stop
BTC/USDT,long,2026-04-22T04:00:00+00:00,2026-04-27T12:00:00+00:00,78051.79639499998,76850.86097224093,-0.015386390553798762,-0.0021732988192248452,0.5,0.25,0.125,stop
