asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
BTC/USDT,long,supertrend,2023-03-29T12:00:00+00:00,2023-04-03T20:00:00+00:00,32,28457.011394999998,27478.17682871489,-0.03439695591003246,-0.009099238977508115,stop
BTC/USDT,long,supertrend,2023-04-18T12:00:00+00:00,2023-04-19T08:00:00+00:00,5,30199.952429999998,29276.76717842401,-0.03056909621681776,-0.00814227405420444,stop
BTC/USDT,long,supertrend,2023-04-26T12:00:00+00:00,2023-04-26T16:00:00+00:00,1,29834.940014999996,28026.423076129362,-0.060617414949095706,-0.015654353737273925,stop
ETH/USDT,long,supertrend,2023-04-26T12:00:00+00:00,2023-04-26T16:00:00+00:00,1,1954.886955,1836.6533944133905,-0.060481021822875396,-0.01562025545571885,stop
BTC/USDT,long,supertrend,2023-05-05T16:00:00+00:00,2023-05-06T12:00:00+00:00,5,29576.44083,28382.319008942803,-0.04037408787354746,-0.010593521968386865,stop
ETH/USDT,long,supertrend,2023-05-05T12:00:00+00:00,2023-05-06T12:00:00+00:00,6,1954.3166699999997,1906.6778588076943,-0.0243761985575784,-0.006594049639394599,stop
BTC/USDT,short,supertrend_short,2023-05-24T16:00:00+00:00,2023-05-28T00:00:00+00:00,20,26239.203835000004,27054.080131668023,-0.031055679196373705,-0.008263919799093427,stop
ETH/USDT,short,supertrend_short,2023-05-24T16:00:00+00:00,2023-05-28T00:00:00+00:00,20,1791.893605,1844.6853366068444,-0.029461420845265224,-0.007865355211316306,stop
BTC/USDT,short,supertrend_short,2023-05-31T08:00:00+00:00,2023-06-06T16:00:00+00:00,38,27083.63141,26554.727016843957,0.01952856266389591,0.004382140665973977,stop
ETH/USDT,long,supertrend,2023-06-06T20:00:00+00:00,2023-06-10T04:00:00+00:00,20,1885.58232,1809.1126233806433,-0.040554949952732205,-0.010638737488183052,stop
BTC/USDT,short,supertrend_short,2023-06-10T08:00:00+00:00,2023-06-16T12:00:00+00:00,37,25718.534300000003,25845.931931638777,-0.00495353390487631,-0.0017383834762190774,stop
ETH/USDT,short,supertrend_short,2023-06-10T08:00:00+00:00,2023-06-16T16:00:00+00:00,38,1747.076025,1710.7015833050425,0.020820182507488516,0.004705045626872129,stop
ETH/USDT,long,supertrend,2023-06-30T20:00:00+00:00,2023-07-06T12:00:00+00:00,34,1934.7568949999998,1892.0728067257176,-0.022061732088714023,-0.006015433022178506,stop
BTC/USDT,long,supertrend,2023-07-10T20:00:00+00:00,2023-07-14T16:00:00+00:00,23,30426.775784999998,30246.061434948777,-0.005939319740224034,-0.0019848299350560088,stop
ETH/USDT,long,supertrend,2023-07-13T16:00:00+00:00,2023-07-14T16:00:00+00:00,6,1996.247625,1931.5345076023627,-0.03241737978154751,-0.008604344945386878,stop
BTC/USDT,short,supertrend_short,2023-08-07T16:00:00+00:00,2023-08-08T08:00:00+00:00,4,29140.332545,29443.903536935817,-0.010417554139679978,-0.0031043885349199946,stop
ETH/USDT,short,supertrend_short,2023-08-07T16:00:00+00:00,2023-08-08T16:00:00+00:00,6,1824.36736,1856.9129654890778,-0.017839392549249426,-0.004959848137312357,stop
BTC/USDT,short,supertrend_short,2023-08-15T20:00:00+00:00,2023-08-23T16:00:00+00:00,47,29185.4,26516.674014825767,0.09144044574253683,0.022360111435634208,stop
ETH/USDT,short,supertrend_short,2023-08-15T20:00:00+00:00,2023-08-23T16:00:00+00:00,47,1828.0655100000001,1676.5807702152047,0.08286614399546079,0.020216535998865196,stop
ETH/USDT,short,supertrend_short,2023-08-31T20:00:00+00:00,2023-09-06T16:00:00+00:00,35,1644.93712,1662.409983165814,-0.010622207349673058,-0.0031555518374182644,stop
BTC/USDT,short,supertrend_short,2023-08-31T20:00:00+00:00,2023-09-07T20:00:00+00:00,42,25927.80961,26182.320369617886,-0.009816130380706152,-0.002954032595176538,stop
BTC/USDT,short,supertrend_short,2023-09-11T12:00:00+00:00,2023-09-12T00:00:00+00:00,3,25103.412015,25826.18544645859,-0.028791840369217905,-0.007697960092304477,stop
BTC/USDT,short,supertrend_short,2023-09-22T00:00:00+00:00,2023-09-27T08:00:00+00:00,32,26614.456115,26667.058285526397,-0.001976451079785503,-0.0009941127699463759,stop
ETH/USDT,short,supertrend_short,2023-09-21T12:00:00+00:00,2023-09-27T08:00:00+00:00,35,1582.8381850000003,1612.984927195092,-0.019046003868735163,-0.00526150096718379,stop
BTC/USDT,long,supertrend,2023-10-16T08:00:00+00:00,2023-11-03T08:00:00+00:00,108,27763.474799999996,34206.72165634586,0.2320763846298469,0.05751909615746172,stop
BTC/USDT,long,supertrend,2023-11-15T20:00:00+00:00,2023-11-16T16:00:00+00:00,5,37877.1291,35784.54014260164,-0.05524676782851419,-0.014311691957128548,stop
ETH/USDT,long,supertrend,2023-11-20T16:00:00+00:00,2023-11-21T20:00:00+00:00,7,2037.228105,1941.53487023798,-0.04697227302488054,-0.012243068256220135,stop
ETH/USDT,long,supertrend,2023-11-22T20:00:00+00:00,2023-11-27T08:00:00+00:00,27,2064.2416049999997,2020.8186097185744,-0.021035810525398893,-0.005758952631349724,stop
BTC/USDT,long,supertrend,2023-11-24T12:00:00+00:00,2023-11-27T12:00:00+00:00,18,38240.220555,36864.852679519514,-0.03596652570301803,-0.009491631425754508,stop
BTC/USDT,long,supertrend,2023-11-28T20:00:00+00:00,2023-12-11T00:00:00+00:00,73,37837.779435000004,42668.80263585031,0.12767723880703222,0.031419309701758054,stop
ETH/USDT,long,supertrend,2023-12-01T04:00:00+00:00,2023-12-11T00:00:00+00:00,59,2093.796375,2270.479767665413,0.08438422894175326,0.020596057235438316,stop
BTC/USDT,long,supertrend,2023-12-14T12:00:00+00:00,2023-12-18T00:00:00+00:00,21,42469.50414,40878.626408245414,-0.03745929612246664,-0.00986482403061666,stop
ETH/USDT,long,supertrend,2023-12-14T12:00:00+00:00,2023-12-18T00:00:00+00:00,21,2276.1375,2174.0261656758944,-0.044861672163525025,-0.011715418040881257,stop
BTC/USDT,long,supertrend,2024-01-01T20:00:00+00:00,2024-01-03T08:00:00+00:00,9,44201.639775,43707.35613050981,-0.011182473026029075,-0.0032956182565072687,stop
BTC/USDT,long,supertrend,2024-01-08T20:00:00+00:00,2024-01-10T12:00:00+00:00,10,46974.51552,44369.1802739356,-0.05546273798087704,-0.01436568449521926,stop
ETH/USDT,long,supertrend,2024-01-08T20:00:00+00:00,2024-01-12T20:00:00+00:00,24,2331.60522,2468.411215028973,0.05867459630621904,0.01416864907655476,stop
ETH/USDT,long,supertrend,2024-03-06T12:00:00+00:00,2024-03-11T00:00:00+00:00,27,3792.83547,3753.396075412731,-0.010398393207198335,-0.003099598301799584,stop
BTC/USDT,long,supertrend,2024-03-10T04:00:00+00:00,2024-03-12T16:00:00+00:00,15,69381.83358,68603.13368627177,-0.011223397444957425,-0.003305849361239356,stop
BTC/USDT,long,supertrend,2024-03-25T16:00:00+00:00,2024-04-01T04:00:00+00:00,39,70996.370445,68920.9881180361,-0.02923223136556916,-0.007808057841392289,stop
ETH/USDT,long,supertrend,2024-03-21T00:00:00+00:00,2024-04-01T12:00:00+00:00,69,3512.345295,3485.8621708707988,-0.007540011560623431,-0.0023850028901558577,stop
BTC/USDT,long,supertrend,2024-04-07T04:00:00+00:00,2024-04-09T12:00:00+00:00,14,69398.69200499999,68611.11220606828,-0.011348625978065466,-0.0033371564945163666,stop
ETH/USDT,short,supertrend_short,2024-04-25T12:00:00+00:00,2024-04-27T16:00:00+00:00,13,3158.8198,3257.521985530022,-0.031246538827577875,-0.008311634706894468,stop
BTC/USDT,short,supertrend_short,2024-04-24T20:00:00+00:00,2024-04-30T00:00:00+00:00,31,64257.445205,64575.23929063255,-0.00494563835550399,-0.0017364095888759976,stop
ETH/USDT,short,supertrend_short,2024-04-29T12:00:00+00:00,2024-05-03T20:00:00+00:00,26,3180.858775,3108.9693256656265,0.022600641656709105,0.005150160414177277,stop
BTC/USDT,short,supertrend_short,2024-05-09T00:00:00+00:00,2024-05-13T08:00:00+00:00,26,61649.5598,63012.48753553199,-0.022107663703577432,-0.0060269159258943585,stop
ETH/USDT,short,supertrend_short,2024-05-08T00:00:00+00:00,2024-05-15T16:00:00+00:00,46,3030.813835,3004.7862933711267,0.00858764115707332,0.00164691028926833,stop
BTC/USDT,long,supertrend,2024-05-27T16:00:00+00:00,2024-05-29T16:00:00+00:00,12,69294.640005,67102.45724109706,-0.031635675771528045,-0.008408918942882012,stop
BTC/USDT,long,supertrend,2024-06-12T16:00:00+00:00,2024-06-14T16:00:00+00:00,12,67566.68646,66177.47317005086,-0.02056062480985457,-0.005640156202463642,stop
ETH/USDT,long,supertrend,2024-06-16T20:00:00+00:00,2024-06-17T16:00:00+00:00,5,3626.2222049999996,3477.224245625334,-0.041089031766784884,-0.010772257941696221,stop
