fold,train_start,train_end,test_start,test_end,trades,return,max_dd,PF,win_rate,exposure
1,2024-05-01,2024-12-26,2024-12-28,2025-02-25,1,-0.006196342822261891,0.006196342822261891,0.0,0.0,0.016666666666666666
2,2024-06-30,2025-02-24,2025-02-26,2025-04-26,3,0.00496012643771393,0.018880647873679157,1.2809476373812052,0.3333333333333333,0.15833333333333333
3,2024-08-29,2025-04-25,2025-04-27,2025-06-25,2,-0.009546195789726264,0.009546195789726264,0.0,0.0,0.06388888888888888
4,2024-10-28,2025-06-24,2025-06-26,2025-08-24,4,-0.006753425740903096,0.010156072382184522,0.33747506771973645,0.5,0.09166666666666666
5,2024-12-27,2025-08-23,2025-08-25,2025-10-23,1,-0.002405008592922253,0.002405008592922253,0.0,0.0,0.002777777777777778
6,2025-02-25,2025-10-22,2025-10-24,2025-12-22,1,-0.00434731068139893,0.00434731068139893,0.0,0.0,0.013888888888888888
7,2025-04-26,2025-12-21,2025-12-23,2026-02-20,3,0.08421318907252706,0.010588205100916626,9.025479319388241,0.3333333333333333,0.16666666666666666
8,2025-06-25,2026-02-19,2026-02-21,2026-04-21,4,-0.017672264967106388,0.017672264967106388,0.0,0.0,0.07222222222222222
