entry_ts,exit_ts,side,setup_name,entry_price,exit_price,gross_return_pct,fees_total,slippage_total,net_return_pct,holding_bars,exit_reason,entry_rsi,entry_ema_fast,entry_ema_slow,entry_ema_pull,entry_atr,entry_vwap,entry_ema_slope,entry_atr_pct,entry_vwap_distance_pct,entry_volume_zscore,markov_state,markov_stable_state,markov_regime_score,markov_size_multiplier,markov_allowed_setups,position_size_effective,size_multiplier
2024-06-11T04:00:00+00:00,2024-06-11T08:00:00+00:00,long,pullback,67603.96508999998,66757.53113203114,-0.012520478005128777,0.001,0.0005,-0.007260239002564389,1,stop,29.250381293314675,69496.29077081803,67440.92498296565,69397.58944911117,649.3778372259861,68226.24811103976,-0.0016492906261077467,0.009610420413649722,-0.00961606609192411,2.4975609602148974,,,1.0,1.0,,0.5,1.0
2024-06-24T16:00:00+00:00,2024-06-25T00:00:00+00:00,short,breakout_short,59277.066640000005,60518.60302987573,-0.02094463272644369,0.001,0.0005,-0.011472316363221845,2,stop,12.985047647961835,64430.63022487647,66176.34061202857,63160.26478539294,787.7592336336705,61114.738960836214,-0.010704895471587261,0.013282798873950043,-0.029584008564527035,3.0330116328036976,,,1.0,1.0,,0.5,1.0
2024-07-01T00:00:00+00:00,2024-07-03T00:00:00+00:00,short,pullback_short,63405.97115500001,61018.483994999995,0.037653979846214235,0.001,0.0005,0.017826989923107116,12,target_rsi,70.23990655937038,62099.62715630464,64659.78427642549,61662.26018486882,678.6079502023991,63276.44666666666,0.0008634734458325966,0.01069723614151775,0.0025482362210184043,2.11321096237649,,,1.0,1.0,,0.5,1.0
2024-07-03T08:00:00+00:00,2024-07-06T16:00:00+00:00,short,breakout_short,60355.81699500001,57779.52211259378,0.04268511322810279,0.001,0.0005,0.020342556614051394,20,stop,34.63806026966358,62123.50520454526,64345.911396710246,61884.452885436316,751.3825690488627,60718.147386917466,-0.003179294219531892,0.012442990835938037,-0.005470150213921505,2.6034264145742605,,,1.0,1.0,,0.5,1.0
2024-07-07T20:00:00+00:00,2024-07-08T08:00:00+00:00,short,breakout_short,55829.881095000004,57150.352115560854,-0.023651689644725183,0.001,0.0005,-0.01282584482236259,3,stop,36.21938284191258,58884.135343631126,62686.78616077705,57457.64527614057,1022.9447620613881,57192.4778593875,-0.0073841923399963205,0.018313370360588575,-0.02333642306369199,-0.42979934413759147,,,1.0,1.0,,0.5,1.0
2024-07-14T20:00:00+00:00,2024-07-15T00:00:00+00:00,short,pullback_short,60767.51104500001,61860.7566092726,-0.017990626001828717,0.001,0.0005,-0.009995313000914358,1,stop,70.45916094271549,58499.134427709054,61101.610101380495,58941.019606974325,859.9430736903212,60105.63031483407,0.006488991819292744,0.014144286763974636,0.011517717750230168,1.667281834247823,,,1.0,1.0,,0.5,1.0
2024-07-26T08:00:00+00:00,2024-07-27T20:00:00+00:00,long,breakout,67355.661,67096.93940310708,-0.0038411262401969242,0.001,0.0005,-0.002920563120098462,9,stop,60.91963742295552,65509.78038993091,63407.91496993876,65982.64802730296,984.0996570747549,66934.43836073826,0.003016981780846084,0.014617801863800168,0.005790167942741261,-0.9880385459020293,,,1.0,1.0,,0.5,1.0
2024-07-31T12:00:00+00:00,2024-07-31T16:00:00+00:00,long,breakout,66413.179995,65224.201585,-0.01790274776918542,0.001,0.0005,-0.009951373884592711,1,trail_exit,43.754332805568964,66771.26046889342,64492.99021979157,66883.24767532427,950.6644896242408,66221.76304483139,-0.0019165276873578385,0.014321552166914166,0.0023893497831143627,0.1907256416440126,,,1.0,1.0,,0.5,1.0
2024-07-31T20:00:00+00:00,2024-08-01T12:00:00+00:00,long,pullback,64660.314,63386.62116903802,-0.019698215987042317,0.001,0.0005,-0.010849107993521158,4,stop,31.409136005421303,66630.15060584895,64501.85837068306,66543.81047547459,1008.058054829065,65773.32603757444,-0.003134646012128317,0.01559785317244948,-0.01741322974787911,0.25456087169560276,,,1.0,1.0,,0.5,1.0
2024-09-03T20:00:00+00:00,2024-09-04T12:00:00+00:00,short,breakout_short,57458.98613500001,58086.77491480533,-0.010925858982794023,0.001,0.0005,-0.006462929491397012,4,stop,38.55565823285423,59268.73893887535,60502.29338420726,58522.0689816151,841.7993479752545,58461.43533943094,-0.0037751254965791015,0.014643113373501692,-0.016655515448389797,-0.6122459701623729,,,1.0,1.0,,0.5,1.0
2024-09-06T12:00:00+00:00,2024-09-08T20:00:00+00:00,short,breakout_short,54017.98749500001,55003.82071873091,-0.01825009167218884,0.001,0.0005,-0.010125045836094419,14,stop,27.557985985425844,57951.64702018501,59922.36111281078,56778.83761126471,1114.212632493078,55384.3860494313,-0.008590976715373788,0.02061638313126555,-0.024183278807783204,3.4215604454028945,,,1.0,1.0,,0.5,1.0
2024-09-30T20:00:00+00:00,2024-10-01T12:00:00+00:00,long,pullback,63359.25379499999,62486.570154248126,-0.013773578261755539,0.001,0.0005,-0.007886789130877769,4,stop,31.22039418453295,64284.93412017956,61668.04422762967,64713.49203989537,674.8007760145708,63973.63866780522,-0.001909540362732609,0.01065571540010556,-0.01009867003438637,0.27214725419579733,,,1.0,1.0,,0.5,1.0
2024-10-01T16:00:00+00:00,2024-10-01T20:00:00+00:00,long,pullback,61786.86799499999,60752.99357199973,-0.016732915205928997,0.001,0.0005,-0.0093664576029645,1,stop,25.78980728411166,64076.34325042987,61741.14548860834,64091.68503815273,810.5039461399607,62747.42438857246,-0.0032447862412012807,0.013124296868044068,-0.01580039974920499,2.4377707855797173,,,1.0,1.0,,0.5,1.0
2024-10-14T20:00:00+00:00,2024-10-15T12:00:00+00:00,long,breakout,66117.031995,64833.538594480684,-0.01941244731941954,0.001,0.0005,-0.01070622365970977,4,stop,75.77317277877995,62932.499900009454,62083.03360817112,63712.605967461335,812.0122798194583,65101.78811119312,0.009181691610056442,0.012287579485128822,0.015087172216057957,0.14967177751562535,,,1.0,1.0,,0.5,1.0
2024-10-20T20:00:00+00:00,2024-10-21T08:00:00+00:00,long,breakout,69066.505995,68158.19906843419,-0.013151192658154277,0.001,0.0005,-0.007575596329077138,3,stop,67.55751412894938,66751.53583317863,63786.95182939076,68082.13821141106,564.6529160075905,68636.16276865064,0.006183603460218956,0.008179583349800441,0.005767036142209253,0.8484752343852466,,,1.0,1.0,,0.5,1.0
2024-10-23T12:00:00+00:00,2024-10-23T16:00:00+00:00,long,pullback,66256.55172,65325.06137160395,-0.01405884134043871,0.001,0.0005,-0.008029420670219355,1,stop,31.723346501291985,67025.39775996828,64322.918571286864,67383.71796489957,721.4164652293261,66613.52161110354,-0.0008265024248851338,0.010893672470492716,-0.0058558923424117115,0.9351457884514297,,,1.0,1.0,,0.5,1.0
2024-10-29T08:00:00+00:00,2024-10-31T12:00:00+00:00,long,breakout,71487.73600499998,71135.6927859415,-0.004924526061838926,0.001,0.0005,-0.003462263030919463,13,stop,79.39268909655884,68000.91498334265,65416.155580941595,68842.70584269319,780.8741291105376,70981.75059739024,0.008660110297881385,0.010928651679785323,0.006625074736139858,0.4199971613717111,,,1.0,1.0,,0.5,1.0
2024-11-11T08:00:00+00:00,2024-11-14T20:00:00+00:00,long,breakout,82175.067,87506.60726520736,0.06488026672624883,0.001,0.0005,0.031440133363124415,21,stop,80.57621243269276,75399.80022719012,69836.33136478259,78268.61838955988,1281.757654125783,81415.6790857375,0.016839478681030196,0.015605688924510957,0.008822881812556601,0.3767202278980901,,,1.0,1.0,,0.5,1.0
2024-11-25T04:00:00+00:00,2024-11-25T12:00:00+00:00,long,breakout,98096.36366999999,97371.59048316118,-0.007388379749497878,0.001,0.0005,-0.00469418987474894,2,stop,57.12078932295307,94986.41762768326,83185.26814620277,97343.52169682572,1223.3283890934342,97819.74816361353,0.00532881342770275,0.012476915631708461,0.002326645086080077,-0.13730814265776378,,,1.0,1.0,,0.5,1.0
2024-11-29T08:00:00+00:00,2024-11-30T08:00:00+00:00,long,breakout,97286.528955,96052.95030313908,-0.012679850592999541,0.001,0.0005,-0.007339925296499771,6,stop,59.048372469953826,94945.82972817624,85746.7264541106,95437.90417631059,1474.366845297466,96369.37527283079,0.002645426655343286,0.015162469506980003,0.009012559484901834,-0.7357362277707002,,,1.0,1.0,,0.5,1.0
2024-12-06T08:00:00+00:00,2024-12-08T08:00:00+00:00,long,breakout,98118.65480999999,99170.17869290989,0.010716859958446227,0.001,0.0005,0.004358429979223114,12,stop,50.83140455071383,97123.16614860267,89710.26247418282,98121.21267918503,2232.6892878308404,97773.29170223833,0.0019532410942579848,0.022766370338039858,0.003030769370679559,-0.6523859561456934,,,1.0,1.0,,0.5,1.0
2024-12-14T00:00:00+00:00,2024-12-18T00:00:00+00:00,long,breakout,102139.044,104676.56171229093,0.024843758203679067,0.001,0.0005,0.011421879101839533,24,stop,62.32137206783144,99246.27273091268,93294.3277138693,100124.6773921874,1504.6886665075192,101962.11666666665,0.004109215221633544,0.0147391335564172,0.0012346088669861793,-0.3630743373593863,,,1.0,1.0,,0.5,1.0
2024-12-19T16:00:00+00:00,2024-12-20T08:00:00+00:00,long,pullback,97248.31985999999,94753.26388571583,-0.025656545818746015,0.001,0.0005,-0.013828272909373007,4,stop,29.222844741177738,102337.0162307956,96248.38949799404,102737.19710297114,1999.2131518127119,99999.40479321768,-0.0038249565345853664,0.020568095790941703,-0.027997014572306335,1.9294404096137376,,,1.0,1.0,,0.5,1.0
