rule,window_months,trade_count,total_return,max_dd,profit_factor,win_rate,average_size_multiplier,return_per_exposure,worst_3mo,latest_3mo
none,3,13,0.03561795090336384,0.15817812092756336,1.2767243946110447,0.3076923076923077,1.0,0.03561795090336384,0.04710708704697077,0.04710708704697081
none,6,26,0.12111978548173741,0.15817812092756356,1.5056054423762513,0.34615384615384615,1.0,0.12111978548173741,0.04710708704697079,0.04710708704697081
none,12,40,0.1828818030104027,0.1581781209275635,1.4815448376835936,0.4,1.0,0.1828818030104027,-0.05150597032405142,0.04710708704697081
none,24,75,0.2936388836947357,0.16225587487739934,1.3717213745495789,0.38666666666666666,1.0,0.2936388836947357,-0.1670355054939153,0.04710708704697081
rolling_decay_size,3,13,-0.004883102552712626,0.14299728223167713,1.0098669614372466,0.3076923076923077,0.8461538461538461,-0.005770939380478558,0.0015057517058701285,0.0015057517058701371
rolling_decay_size,6,26,0.02412648797856609,0.14299728223167715,1.1395558572196482,0.34615384615384615,0.8269230769230769,0.029176218020591553,-0.015459891733190678,0.0015057517058701371
rolling_decay_size,12,40,0.0060299790034392675,0.14299728223167749,1.0515916007437975,0.4,0.68125,0.008851345326149384,-0.02149137059091921,0.0015057517058701371
rolling_decay_size,24,75,0.06767189045733524,0.16225587487739934,1.1337355971504193,0.38666666666666666,0.8166666666666667,0.08286353933551253,-0.1670355054939153,0.0015057517058701371
consecutive_loss_size,3,13,0.0009710102230753304,0.14112662825692987,1.0683854422355317,0.3076923076923077,0.8076923076923077,0.0012022031333313614,0.010287366520804243,0.010287366520804251
consecutive_loss_size,6,26,0.09403279884349658,0.1411266282569301,1.450993543055095,0.34615384615384615,0.8557692307692307,0.10988102336768141,0.000648667299785171,0.010287366520804251
consecutive_loss_size,12,40,0.07520744616113095,0.14112662825692995,1.243599219868512,0.4,0.875,0.08595136704129251,-0.04684773992826205,0.010287366520804251
consecutive_loss_size,24,75,0.14273875691412274,0.14112662825692998,1.2254274813167947,0.38666666666666666,0.8866666666666667,0.16098356042946174,-0.13956606466578883,0.010287366520804251
stop_cluster_size,3,13,0.011047547543870717,0.041780597383759735,1.2767243946110447,0.3076923076923077,0.25,0.04419019017548287,0.011776771761742693,0.011776771761742702
stop_cluster_size,6,26,0.03209788577433903,0.041780597383759416,1.5056054423762513,0.34615384615384615,0.25,0.12839154309735612,0.011776771761742697,0.011776771761742702
stop_cluster_size,12,40,0.0476334087273127,0.041780597383759645,1.4815448376835936,0.4,0.25,0.1905336349092508,-0.012876492581012856,0.011776771761742702
stop_cluster_size,24,75,0.14123215960562763,0.08716180032894846,1.5129166811774477,0.38666666666666666,0.35,0.40352045601607894,-0.052273300808879763,0.011776771761742702
vol_sizing,3,13,0.025414520404424712,0.07775447759318375,1.3516894659236234,0.3076923076923077,0.4807692307692308,0.0528622024412034,0.028274074340978304,0.028274074340978297
vol_sizing,6,26,0.0632859512472268,0.07775447759318344,1.4610727399238472,0.34615384615384615,0.5673076923076923,0.11155489711375573,0.010490772753572387,0.028274074340978297
vol_sizing,12,40,0.1575823268384311,0.0777544775931836,1.7877166743528596,0.4,0.58125,0.2711093795069782,-0.009770473751040665,0.028274074340978297
vol_sizing,24,75,0.20774950782327384,0.07775447759318367,1.508130521141671,0.38666666666666666,0.5533333333333333,0.3754509177529045,-0.052046769267947955,0.028274074340978297
ensemble,3,13,0.011047547543870717,0.041780597383759735,1.2767243946110447,0.3076923076923077,0.25,0.04419019017548287,0.011776771761742693,0.011776771761742702
ensemble,6,26,0.03209788577433903,0.041780597383759416,1.5056054423762513,0.34615384615384615,0.25,0.12839154309735612,0.011776771761742697,0.011776771761742702
ensemble,12,40,0.0476334087273127,0.041780597383759645,1.4815448376835936,0.4,0.25,0.1905336349092508,-0.012876492581012856,0.011776771761742702
ensemble,24,75,0.13596269807485695,0.05627918476381205,1.5528941015890636,0.38666666666666666,0.31333333333333335,0.4339235044942243,-0.041758876373478825,0.011776771761742702
