variant,trades,total_return,max_drawdown,profit_factor,sharpe_per_trade,win_rate,avg_win,avg_loss,avg_size_multiplier,fold_positive,by_state
baseline_no_markov,33,0.08971164811690446,0.04430580608428936,1.690619924242409,0.1374540810963428,0.30303030303030304,0.0226709599039421,-0.005830369645671552,1.0,3/8,unknown:33@PF1.69
strategy_routing,21,0.0922974944792394,0.022867560774920397,2.1716262862256834,0.19345376006781126,0.2857142857142857,0.02897708425995324,-0.005337397957236153,0.8809523809523809,3/8,"up_high_vol:10@PF2.68, up_low_vol:10@PF2.14, nan:1@PF0.00"
soft_sizing,33,0.07484860625804268,0.02377221326998434,1.8621797333176529,0.14507492576313738,0.30303030303030304,0.016478705529763056,-0.003847455994697852,0.6379129846113823,3/8,"up_high_vol:10@PF2.50, up_low_vol:10@PF1.98, down_high_vol:7@PF0.54, down_low_vol:5@PF0.77, nan:1@PF0.00"
routing_sizing_combined,19,0.025506635549435552,0.031916260187676126,1.3696651809357836,0.07810473439159309,0.21052631578947367,0.026475794361610253,-0.0051546990666281305,0.8687112872151527,2/8,"up_low_vol:10@PF1.98, up_high_vol:8@PF0.83, nan:1@PF0.00"
